Австралия	Канберра
Австрия	Вена
Азербайджан	Баку
Албания	Тирана
Алжир	Алжир
Ангола	Луанда
Андорра	Андорра-ла-Велья
Антигуа и Барбуда	Сент-Джонс
Аргентина	Буэнос-Айрес
Армения	Ереван
Афганистан	Кабул
Багамы	Нассау
Бангладеш	Дакка
Барбадос	Бриджтаун
Бахрейн	Манама
Беларусь	Минск
Белиз	Бельмопан
Бельгия	Брюссель
Бенин	Порто-Ново
Болгария	София
Боливия	Сукре
Босния и Герцеговина	Сараево
Ботсвана	Габороне
Бразилия	Бразилиа
Бруней	Бандар-Сери-Багаван
Буркина Фасо	Уагадугу
Бурунди	Бужумбура
Бутан	Тхимпху
Вануату	Порт-Вила
Ватикан	Ватикан
Великобритания	Лондон
Венгрия	Будапешт
Венесуэла	Каракас
Восточный Тимор	Дили
Вьетнам	Ханой
Габон	Либревиль
Гаити	Порт-о-Пренс
Гайана	Джорджтаун
Гамбия	Банжул
Гана	Аккра
Гватемала	Гватемала
Гвинея	Конакри
Гвинея-Бисау	Бисау
Германия	Берлин
Гондурас	Тегусигальпа
Гренада	Сент-Джорджес
Греция	Афины
Грузия	Тбилиси
Дания	Копенгаген
Джибути	Джибути
Доминика	Розо
Доминиканская Республика	Санто-Доминго
Египет	Каир
Замбия	Лусака
Зимбабве	Хараре
Израиль	Иерусалим
Индия	Нью-Дели
Индонезия	Джакарта
Иордания	Амман
Ирак	Багдад
Иран	Тегеран
Ирландия	Дублин
Исландия	Рейкьявик
Испания	Мадрид
Италия	Рим
Йемен	Сана
Кабо-Верде	Прая
Казахстан	Астана
Камбоджа	Пномпень
Камерун	Яунде
Канада	Оттава
Катар	Доха
Кения	Найроби
Кипр	Никосия
Киргизия	Бишкек
Кирибати	Южная Тарава
Китай	Пекин
Колумбия	Санта-Фе-де-Богота
Коморы	Морони
Конго, демократическая республика	Киншаса
Конго, республика	Браззавиль
Коста-Рика	Сан-Хосе
Кот-д’Ивуар	Ямусукро
Куба	Гавана
Кувейт	Эль-Кувейт
Лаос	Вьентьян
Латвия	Рига
Лесото	Масеру
Либерия	Монровия
Ливан	Бейрут
Ливия	Триполи
Литва	Вильнюс
Лихтенштейн	Вадуц
Люксембург	Люксембург
Маврикий	Порт-Луи
Мавритания	Нуакшот
Мадагаскар	Антананариву
Македония	Скопье
Малави	Лилонгве
Малайзия	Куала-Лумпур
Мали	Бамако
Мальдивы	Мале
Мальта	Валлетта
Марокко	Рабат
Маршалловы Острова	Маджуро
Мексика	Мехико
Мозамбик	Мапуту
Молдавия	Кишинев
Монако	Монако
Монголия	Улан-Батор
Мьянма	Найпьидо
Намибия	Виндхук
Науру	официальной столицы не имеет
Непал	Катманду
Нигер	Ниамей
Нигерия	Абуджа
Нидерланды	Амстердам
Никарагуа	Манагуа
Новая Зеландия	Веллингтон
Норвегия	Осло
Объединенные Арабские Эмираты	Абу-Даби
Оман	Маскат
Пакистан	Исламабад
Палау	Мелекеок
Панама	Панама
Папуа - Новая Гвинея	Порт-Морсби
Парагвай	Асунсьон
Перу	Лима
Польша	Варшава
Португалия	Лиссабон
Россия	Москва
Руанда	Кигали
Румыния	Бухарест
Сальвадор	Сан-Сальвадор
Самоа	Апиа
Сан-Марино	Сан-Марино
Сан-Томе и Принсипи	Сан-Томе
Саудовская Аравия	Эр-Рияд
Свазиленд	Мбабане
Северная Корея	Пхеньян
Сейшелы	Виктория
Сенегал	Дакар
Сент-Винсент и Гренадины	Кингстаун
Сент-Китс и Невис	Бастер
Сент-Люсия	Кастри
Сербия	Белград
Сингапур	Сингапур
Сирия	Дамаск
Словакия	Братислава
Словения	Любляна
Соединенные Штаты Америки	Вашингтон
Соломоновы Острова	Хониара
Сомали	Могадишо
Судан	Хартум
Суринам	Парамарибо
Сьерра-Леоне	Фритаун
Таджикистан	Душанбе
Таиланд	Бангкок
Танзания	Додома
Того	Ломе
Тонга	Нукуалофа
Тринидад и Тобаго	Порт-оф-Спейн
Тувалу	Фунафути
Тунис	Тунис
Туркмения	Ашхабад
Турция	Анкара
Уганда	Кампала
Узбекистан	Ташкент
Украина	Киев
Уругвай	Монтевидео
Федеративные штаты Микронезии	Паликир
Фиджи	Сува
Филиппины	Манила
Финляндия	Хельсинки
Франция	Париж
Хорватия	Загреб
Центрально-Африканская Республика	Банги
Чад	Нджамена
Черногория	Подгорица
Чехия	Прага
Чили	Сантьяго
Швейцария	Берн
Швеция	Стокгольм
Шри-Ланка	Коломбо
Эквадор	Кито
Экваториальная Гвинея	Малабо
Эритрея	Асмэра
Эстония	Таллин
Эфиопия	Аддис-Абеба
Южная Корея	Сеул
Южно-Африканская Республика	Претория
Ямайка	Кингстон
Япония	Токио

United Arab Emirates	Abu Dhabi
Nigeria	Abuja
Ghana	Accra
Ethiopia	Addis Ababa
Algeria	Algiers
Jordan	Amman
Andorra	Andorra la Vella
Turkey	Ankara
Madagascar	Antananarivo
Samoa	Apia
Turkmenistan	Ashgabat
Eritrea	Asmara
Kazakhstan	Astana
Paraguay	Asuncion
Greece	Athens
Azerbaijan	Baku
Brunei	Bandar Seri Begawan
Iraq	Baghdad
Mali	Bamako
Thailand	Bangkok
Central African Republic	Bangui
Gambia	Banjul
Saint Kitts and Nevis	Basseterre
China	Beijing
Lebanon	Beirut
Serbia	Belgrade
Belize	Belmopan
Northern Ireland	Belfast
Germany	Berlin
Switzerland	Bern
Kyrgyzstan	Bishkek
Guinea-Bissau	Bissau
Colombia	Bogota
Brazil	Brasilia
Slovakia	Bratislava
Congo, Republic of the	Brazzaville
Barbados	Bridgetown
Belgium	Brussels
Hungary	Budapest
Romania	Bucharest
Argentina	Buenos Aires
Burundi	Bujumbura
Egypt	Cairo
Australia	Canberra
Venezuela	Caracas
Wales	Cardiff
Saint Lucia	Castries
French Guiana	Cayenne
Moldova	Chisinau
Sri Lanka	Colombo
Guinea	Conakry
Denmark	Copenhagen
Senegal	Dakar
Syria	Damascus
Bangladesh	Dhaka
Tanzania	Dar es Salaam
East Timor	Dili
Djibouti	Djibouti
Qatar	Doha
Ireland	Dublin
Tajikistan	Dushanbe
Scotland	Edinburgh
Sierra Leone	Freetown
Botswana	Gaborone
Guyana	Georgetown
Guatemala	Guatemala City
Vietnam	Hanoi
Zimbabwe	Harare
Cuba	Havana
Finland	Helsinki
Solomon Islands	Honiara
Pakistan	Islamabad
Indonesia	Jakarta
South Sudan	Juba
Afghanistan	Kabul
Nepal	Kathmandu
Uganda	Kampala
Sudan	Khartoum
Ukraine	Kiev
Rwanda	Kigali
Jamaica	Kingston
Saint Vincent and the Grenadines	Kingstown
Congo, Democratic Republic of the	Kinshasa
Malaysia	Kuala Lumpur
Kuwait	Kuwait City
Bolivia	La Paz
Gabon	Libreville
Malawi	Lilongwe
Peru	Lima
Portugal	Lisbon
Slovenia	Ljubljana
Togo	Lome
England	London
United Kingdom	London
Angola	Luanda
Zambia	Lusaka
Luxembourg	Luxembourg
Spain	Madrid
Marshall Islands	Majuro
Equatorial Guinea	Malabo
Maldives	Male
Nicaragua	Managua
Bahrain	Manama
Philippines	Manila
Mozambique	Maputo
Lesotho	Maseru
Swaziland	Mbabana
Palau	Melekeok
Mexico	Mexico City
Belarus	Minsk
Somalia	Mogadishu
Monaco	Monaco
Liberia	Monrovia
Uruguay	Montevideo
Comoros	Moroni
Russia	Moscow
Oman	Muscat
Kenya	Nairobi
Bahamas	Nassau
Chad	N'Djamena
India	New Delhi
Niger	Niamey
Cyprus	Nicosia
Mauritania	Nouakchott
Tonga	Nuku'alofa
Burkina Faso	Ouagadougou
Norway	Oslo
Canada	Ottawa
Federated States of Micronesia	Palikir
Panama	Panama City
Suriname	Paramaribo
France	Paris
Cambodia	Phnom Penh
Montenegro	Podgorica
Haiti	Port au Prince
Mauritius	Port Louis
Papua New Guinea	Port Moresby
Trinidad and Tobago	Port of Spain
Vanuatu	Port Vila
Benin	Porto Novo
Czech Republic	Prague
Cape Verde	Praia
South Africa	Pretoria
Kosovo	Pristina
North Korea	Pyongyang
Ecuador	Quito
Morocco	Rabat
Myanmar (Burma)	Rangoon (Yangon)
Iceland	Reykjavik
Latvia	Riga
Saudi Arabia	Riyadh
Italy	Rome
Dominica	Roseau
Grenada	Saint George's
Antigua and Barbuda	Saint John's
Costa Rica	San Jose
San Marino	San Marino
El Salvador	San Salvador
Yemen	Sanaa
Chile	Santiago
Dominican Republic	Santo Domingo
Sao Tome and Principe	Sao Tome
Bosnia and Herzegovina	Sarajevo
South Korea	Seoul
Singapore	Singapore
Macedonia	Skopje
Bulgaria	Sofia
Sweden	Stockholm
Fiji	Suva
Taiwan	Taipei
Estonia	Tallinn
Kiribati	Tarawa Atoll
Uzbekistan	Tashkent
Georgia	Tbilisi
Honduras	Tegucigalpa
Iran	Tehran
Israel	Tel Aviv
Netherlands	Amsterdam
Bhutan	Thimphu
Albania	Tirana (Tirane)
Japan	Tokyo
Libya	Tripoli
Tunisia	Tunis
Mongolia	Ulaanbaatar
Liechtenstein	Vaduz
Tuvalu	Vaiaku village
Malta	Valletta
